error,cause,fix,provenance
"libcudnn.so.9: cannot open shared object file","WSL or Colab missing CUDA/cuDNN runtime libraries","run via tools/gnina/run_gnina_wsl.sh or set LD_LIBRARY_PATH to pip-installed nvidia/*/lib (codex round 5 wrapper)",codex_R5
"snakemake: command not found (Windows)","snakemake build fails on Windows due to MSVC dependency","use conda env-lite on WSL or Linux; pip install snakemake-minimal works in conda envs (codex round 4 finding)",codex_R4
"PermissionError on .pytest_cache (Windows)","Windows OS denies pytest temp directory cleanup","run pytest in conda env on WSL or Linux; --basetemp inside Linux mount avoids Windows ACL conflict",codex_R4
"GNINA score parser captures <CNNscore> tag instead of value","prior parser read SDF property tag line","use run_rcsb_redocking.py _parse_first_pose_props (numeric value on line after tag) (codex round 5 fix)",codex_R5
"Kabsch-aligned RMSD hides receptor-frame placement error","Kabsch removes translation/rotation before RMSD; bad poses can score artificially low","use receptor-frame in-place RDKit symmetry-corrected RMSD (codex round 5 fix)",codex_R5
"ligand_id column hardcoded to single value (e.g. all Gly-Val)","loop variable reuse in run_replay.py generate_validation_table","derive ligand_id dynamically via case_id.split('-')[1] (R3.1 fix)",R3.1
"triage helper returns no accepted seq_ids","TriageDecision.verdict accepts only accept/downrank/exclude but triage.py emitted PASS/PASS_CLIPPED/FLAG/EXCLUDE","emit both verdict (external) + triage_status (internal); helper filters verdict in {accept, downrank} (R2 fix)",R2
"BOM or CP949 encoding errors on Windows","aw1_ref_manifest.tsv saved as UTF-8 with BOM; default codec is CP949","read with utf-8-sig in run_replay.py and structure.load_aw1_asset (codex round 4 auto-fix)",codex_R4
"DeepTMHMM not installed","Phobius opt-in default mismatched","set config.yaml triage_tool: deeptmhmm and install via biolib pip; Phobius requires user perl + binary",Phase_A_decision
"asset_id not found in aw1_ref_manifest","filename inference instead of manifest lookup","use load_aw1_asset(asset_id, manifest_path) which resolves canonical paths (codex round 1 manifest)",codex_R1_M1
"top-pose RMSD > 2.0 A but best-of-9 RMSD < 2.0 A","CNN within-case ranking limitation; not a search failure","report top-pose as primary; treat best-of-9 as diagnostic; consider dad.core.docking.select_consensus_pose (ensemble or consensus mode)",codex_R6_C-R6-3
"family bias: 3 of 4 failures in periplasmic_sugar_binding","sugar SBP induced-fit + multiple binding modes + CNN training distribution bias toward rigid pockets","increase sugar SBP coverage (Phase D 5 candidates: 1ABE 1EZ9 3MFU 1URP 4M3D); apply ensemble pose selection",codex_R6_failure_analysis
